,Sex,Length (mm),Diameter (mm),Height (mm,Whole weight (g),Shucked weight (g),Viscera weight (g),Shell weight (g),Rings
365,I,0.62,0.47,0.155,0.966,0.447,0.171,0.284,11
366,M,0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,12
367,M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9
368,F,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9
369,F,0.57,0.465,0.155,0.9685,0.446,0.261,0.255,9
370,I,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7
371,F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
372,I,0.175,0.125,0.04,0.027999999999999997,0.0095,0.008,0.009000000000000001,4
373,I,0.35,0.26,0.095,0.21100000000000002,0.086,0.055999999999999994,0.068,7
374,M,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11
375,I,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,9
376,I,0.52,0.395,0.125,0.6629999999999999,0.3005,0.131,0.1905,9
377,I,0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,7
378,M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12
379,F,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16
380,F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
381,I,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036000000000000004,4
382,M,0.605,0.475,0.16,1.6159999999999999,0.5495,0.332,0.34,18
383,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
384,F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
385,M,0.595,0.455,0.155,1.041,0.41600000000000004,0.2105,0.365,14
386,F,0.595,0.455,0.16,1.04,0.452,0.2655,0.28800000000000003,9
387,M,0.63,0.495,0.18,1.31,0.495,0.295,0.4695,10
388,I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11
389,M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,9
390,M,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15
391,M,0.52,0.4,0.125,0.5589999999999999,0.254,0.139,0.149,8
392,I,0.395,0.295,0.1,0.293,0.14,0.062,0.08199999999999999,7
393,F,0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12
394,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
395,F,0.515,0.43,0.14,0.8340000000000001,0.36700000000000005,0.2,0.23,8
396,I,0.515,0.35,0.105,0.4745,0.213,0.12300000000000001,0.1275,10
397,M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10
398,I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12
399,I,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765,8
400,M,0.735,0.59,0.215,1.7469999999999999,0.7275,0.40299999999999997,0.557,11
401,F,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595,10
402,I,0.61,0.425,0.155,1.0485,0.507,0.1955,0.27399999999999997,11
403,F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12
404,M,0.68,0.515,0.16,1.2345,0.618,0.2625,0.325,11
405,F,0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8
406,M,0.535,0.435,0.15,0.7170000000000001,0.3475,0.1445,0.19399999999999998,9
407,I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9
408,M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12
409,I,0.45,0.33,0.105,0.44799999999999995,0.20800000000000002,0.08900000000000001,0.12,9
410,I,0.23,0.175,0.065,0.0645,0.026000000000000002,0.0105,0.02,5
411,M,0.5,0.39,0.125,0.5215,0.2485,0.11699999999999999,0.131,6
412,F,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11
413,M,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10
414,M,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15
415,M,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7
416,F,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20
417,F,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
418,I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
419,I,0.415,0.31,0.105,0.3595,0.16699999999999998,0.083,0.0915,6
420,M,0.45,0.36,0.16,0.5670000000000001,0.174,0.1245,0.225,12
421,M,0.5,0.405,0.155,0.772,0.34600000000000003,0.1535,0.245,12
422,F,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12
423,F,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,15
424,F,0.63,0.505,0.165,1.065,0.4595,0.21600000000000003,0.315,12
425,M,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215,9
426,I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6
427,F,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,12
428,I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11
429,I,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9
430,F,0.55,0.43,0.125,0.9229999999999999,0.4035,0.175,0.28300000000000003,8
431,I,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7
432,F,0.52,0.405,0.115,0.7759999999999999,0.32,0.1845,0.22,8
433,I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,14
434,M,0.55,0.425,0.16,0.7929999999999999,0.34299999999999997,0.2035,0.215,9
435,F,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,9
436,I,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,9
437,F,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
438,I,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,9
439,M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9
440,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12
441,F,0.67,0.53,0.205,1.4015,0.643,0.2465,0.41600000000000004,12
442,I,0.5,0.38,0.11,0.494,0.218,0.09,0.1325,7
443,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.21100000000000002,8
444,F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,19
445,I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,4
446,I,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,6
447,F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9
448,I,0.235,0.175,0.055,0.067,0.027000000000000003,0.0125,0.018000000000000002,6
449,M,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,10
450,I,0.415,0.325,0.1,0.385,0.16699999999999998,0.08,0.125,7
451,I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6
452,I,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8
453,M,0.75,0.55,0.18,1.893,0.9420000000000001,0.397,0.445,11
454,M,0.5,0.4,0.145,0.6025,0.21600000000000003,0.138,0.21,11
455,I,0.47,0.345,0.14,0.4615,0.22899999999999998,0.1105,0.11599999999999999,9
456,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21
457,M,0.69,0.55,0.2,1.8465,0.732,0.47200000000000003,0.57,19
458,M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11
459,I,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9
460,F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10
461,I,0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12
462,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
463,I,0.315,0.23,0.07,0.16399999999999998,0.0625,0.04,0.045,6
464,M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16
465,M,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,10
466,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14
467,F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11
468,F,0.525,0.41,0.15,0.708,0.27399999999999997,0.151,0.25,12
469,F,0.62,0.48,0.175,1.0405,0.46399999999999997,0.2225,0.3,9
470,M,0.55,0.405,0.15,0.9235,0.41200000000000003,0.2135,0.24,7
471,F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8
472,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
473,M,0.615,0.495,0.2,1.219,0.564,0.22699999999999998,0.3885,10
474,I,0.315,0.24,0.07,0.13699999999999998,0.0545,0.0315,0.04,8
475,M,0.58,0.445,0.16,0.9840000000000001,0.49,0.201,0.27,9
476,I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9
477,M,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10
478,M,0.575,0.425,0.14,0.8635,0.39299999999999996,0.22699999999999998,0.2,11
479,I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
480,F,0.65,0.51,0.155,1.189,0.483,0.278,0.3645,13
481,F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
482,I,0.52,0.385,0.115,0.581,0.2555,0.156,0.14300000000000002,10
483,F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9
484,M,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,9
485,F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.11900000000000001,10
486,M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
487,I,0.4,0.315,0.1,0.3225,0.14300000000000002,0.0735,0.091,6
488,M,0.715,0.525,0.2,1.89,0.95,0.436,0.4305,10
489,I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,9
490,I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,6
491,I,0.3,0.225,0.075,0.1345,0.057,0.027999999999999997,0.044000000000000004,5
492,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15
493,F,0.51,0.37,0.21,1.183,0.508,0.292,0.34299999999999997,9
494,M,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13
495,M,0.69,0.53,0.19,1.5955,0.6779999999999999,0.331,0.48,10
496,F,0.615,0.455,0.145,1.1155,0.5045,0.23800000000000002,0.315,10
497,F,0.535,0.42,0.15,0.7365,0.2785,0.18600000000000003,0.215,14
498,F,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,9
499,M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8
500,M,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,11
501,I,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,7
502,M,0.605,0.455,0.16,1.1035,0.42100000000000004,0.3015,0.325,9
503,F,0.435,0.325,0.11,0.4335,0.17800000000000002,0.0985,0.155,7
504,F,0.65,0.545,0.175,1.5245,0.59,0.326,0.495,10
505,F,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10
506,M,0.28,0.21,0.08,0.1085,0.040999999999999995,0.0265,0.0345,7
507,M,0.59,0.475,0.155,0.857,0.35600000000000004,0.174,0.28,13
508,F,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11
509,F,0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,17
510,F,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11
511,F,0.65,0.525,0.165,1.238,0.647,0.2485,0.3005,9
512,M,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,11
513,I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.28600000000000003,9
514,M,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6
515,F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8
516,M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8
517,I,0.315,0.235,0.075,0.1285,0.051,0.027999999999999997,0.0405,4
518,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9
519,I,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,10
520,F,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6
521,M,0.655,0.515,0.16,1.31,0.5529999999999999,0.369,0.345,11
522,I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8
523,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9
524,I,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10
525,M,0.63,0.49,0.18,1.13,0.45799999999999996,0.2765,0.315,12
526,F,0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10
527,F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10
528,M,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,12
529,F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8
530,I,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,8
531,M,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10
532,I,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6
533,I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8
534,M,0.645,0.505,0.185,1.463,0.5920000000000001,0.3905,0.41600000000000004,10
535,M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
536,F,0.605,0.45,0.195,1.0979999999999999,0.48100000000000004,0.2895,0.315,13
537,F,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10
538,I,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,7
539,M,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,12
540,I,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15
541,M,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314,10
542,M,0.66,0.525,0.2,1.489,0.6065,0.3795,0.42100000000000004,10
543,M,0.515,0.37,0.115,0.6145,0.3415,0.155,0.146,9
544,F,0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,9
545,M,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,14
546,M,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,10
547,M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.27399999999999997,10
548,F,0.67,0.54,0.2,1.46,0.6435,0.32799999999999996,0.4165,9
549,M,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9
550,I,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,9
551,M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10
552,I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4
553,M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.28600000000000003,9
554,F,0.66,0.5,0.155,1.3765,0.6485,0.28800000000000003,0.335,12
555,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
556,I,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9
557,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
558,M,0.635,0.525,0.16,1.195,0.5435,0.24600000000000002,0.335,12
559,M,0.65,0.51,0.19,1.5419999999999998,0.7155,0.3735,0.375,9
560,M,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,11
561,F,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8
562,M,0.68,0.54,0.19,1.6230000000000002,0.7165,0.354,0.4715,12
563,F,0.675,0.54,0.21,1.5930000000000002,0.6859999999999999,0.318,0.45,11
564,M,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9
565,I,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9
566,I,0.49,0.375,0.125,0.5445,0.27899999999999997,0.115,0.13,8
567,F,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14
568,M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13
569,M,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15
570,F,0.63,0.485,0.185,1.167,0.5479999999999999,0.2485,0.34,10
571,M,0.455,0.35,0.105,0.41600000000000004,0.1625,0.09699999999999999,0.145,11
572,F,0.595,0.43,0.21,1.5245,0.653,0.396,0.41,11
573,M,0.515,0.435,0.145,0.8815,0.292,0.20600000000000002,0.255,10
574,I,0.545,0.43,0.15,0.742,0.3525,0.158,0.20800000000000002,10
575,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20
576,M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8
577,I,0.395,0.3,0.09,0.27899999999999997,0.134,0.049,0.075,8
578,M,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14
579,I,0.375,0.29,0.085,0.2385,0.11800000000000001,0.045,0.0695,7
580,M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9
581,F,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11
582,F,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
583,M,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8
584,M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15
585,F,0.665,0.52,0.165,1.6885,0.7295,0.40700000000000003,0.4265,11
586,M,0.61,0.485,0.17,1.281,0.597,0.3035,0.33,9
587,F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7
588,M,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15
589,I,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6
590,M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10
591,F,0.525,0.405,0.16,0.6579999999999999,0.2655,0.1125,0.225,12
592,F,0.545,0.4,0.14,0.778,0.368,0.215,0.18,9
593,M,0.505,0.395,0.135,0.5915,0.28800000000000003,0.1315,0.185,12
594,F,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9
595,M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.14400000000000002,11
596,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
597,F,0.4,0.305,0.16,0.368,0.17300000000000001,0.0705,0.105,7
598,I,0.53,0.395,0.125,0.6235,0.2975,0.10800000000000001,0.195,11
599,F,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.40299999999999997,10
600,M,0.525,0.425,0.19,0.872,0.4625,0.1725,0.19899999999999998,9
601,M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9
602,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12
603,F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17
604,I,0.295,0.22,0.065,0.1295,0.052000000000000005,0.027999999999999997,0.035,6
605,I,0.44,0.34,0.105,0.344,0.12300000000000001,0.081,0.125,8
606,M,0.57,0.465,0.125,0.8490000000000001,0.3785,0.1765,0.24,15
607,I,0.55,0.425,0.15,0.7665,0.33899999999999997,0.17600000000000002,0.21,8
608,F,0.555,0.455,0.18,0.958,0.29600000000000004,0.195,0.39,14
609,M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9
610,I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8
611,I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9
612,M,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,9
613,F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18
614,I,0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,9
615,I,0.25,0.185,0.065,0.071,0.027000000000000003,0.0185,0.0225,5
616,I,0.24,0.185,0.07,0.0715,0.026000000000000002,0.018000000000000002,0.025,6
617,I,0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,13
618,M,0.45,0.335,0.14,0.4625,0.16399999999999998,0.076,0.15,14
619,M,0.59,0.47,0.15,0.861,0.413,0.16399999999999998,0.249,8
620,I,0.35,0.26,0.095,0.221,0.0985,0.043,0.07,8
621,F,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11
622,M,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8
623,F,0.605,0.47,0.155,0.9740000000000001,0.39299999999999996,0.22399999999999998,0.3345,9
624,M,0.47,0.37,0.12,0.5795,0.293,0.22699999999999998,0.14,9
625,I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
626,I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10
627,F,0.565,0.44,0.15,0.983,0.4475,0.2355,0.2485,9
628,M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19
629,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
630,I,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7
631,M,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,9
632,F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11
633,I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8
634,M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
635,M,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8
636,F,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,13
637,M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14
638,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9
639,M,0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,9
640,M,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12
641,F,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9
642,F,0.59,0.45,0.16,0.9,0.358,0.156,0.315,19
643,I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7
644,M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10
645,M,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,11
646,F,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,12
647,M,0.35,0.26,0.09,0.195,0.0745,0.040999999999999995,0.0655,9
648,I,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,10
649,I,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,7
650,I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7
651,M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18
652,I,0.16,0.11,0.025,0.018000000000000002,0.0065,0.0055,0.005,3
653,I,0.37,0.27,0.095,0.2175,0.09699999999999999,0.046,0.065,6
654,I,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8
655,M,0.625,0.47,0.17,1.1665,0.4605,0.2565,0.3945,11
656,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
657,M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9
658,F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11
659,M,0.57,0.455,0.155,0.8320000000000001,0.3585,0.174,0.27699999999999997,11
660,M,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276,8
661,F,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,10
662,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
663,F,0.6,0.465,0.165,0.8875,0.309,0.24600000000000002,0.262,12
664,I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9
665,M,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,8
666,F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10
667,I,0.465,0.38,0.13,0.45399999999999996,0.1895,0.08,0.155,11
668,I,0.59,0.46,0.125,0.755,0.33399999999999996,0.15,0.23800000000000002,9
669,I,0.58,0.42,0.16,0.728,0.2725,0.19,0.19,14
670,M,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9
671,M,0.345,0.27,0.09,0.195,0.078,0.0455,0.059000000000000004,9
672,I,0.405,0.315,0.105,0.34700000000000003,0.1605,0.0785,0.1,9
673,F,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,10
674,M,0.58,0.45,0.14,0.8240000000000001,0.3465,0.1765,0.263,10
675,F,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9
676,I,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10
677,F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14
678,I,0.55,0.42,0.115,0.6679999999999999,0.2925,0.13699999999999998,0.209,11
679,I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,6
680,M,0.52,0.385,0.165,0.7909999999999999,0.375,0.18,0.1815,10
681,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9
682,I,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,7
683,I,0.38,0.285,0.085,0.237,0.115,0.0405,0.07,6
684,F,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12
685,I,0.485,0.345,0.16,0.8690000000000001,0.3085,0.185,0.319,9
686,M,0.71,0.56,0.175,1.724,0.5660000000000001,0.4575,0.4625,13
687,M,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,12
688,F,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9
689,M,0.55,0.435,0.16,0.9059999999999999,0.342,0.21899999999999997,0.295,13
690,F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8
691,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
692,M,0.595,0.455,0.145,0.9420000000000001,0.43,0.182,0.27699999999999997,11
693,F,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,9
694,I,0.48,0.37,0.125,0.5435,0.244,0.10099999999999999,0.165,9
695,I,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7
696,F,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,12
697,M,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13
698,F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10
699,F,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15
700,M,0.525,0.4,0.13,0.622,0.2655,0.147,0.184,9
701,I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,4
702,I,0.485,0.375,0.14,0.521,0.2,0.12300000000000001,0.17,8
703,M,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15
704,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
705,I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9
706,M,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13
707,I,0.37,0.275,0.085,0.2045,0.096,0.055999999999999994,0.08,6
708,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
709,M,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10
710,M,0.56,0.425,0.135,0.8490000000000001,0.3265,0.221,0.2645,10
711,I,0.575,0.425,0.135,0.7965,0.364,0.196,0.239,10
712,F,0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,9
713,M,0.57,0.45,0.155,0.91,0.326,0.1895,0.355,14
714,I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,8
715,M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17
716,M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17
717,F,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15
718,I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6
719,F,0.58,0.45,0.195,0.8265,0.4035,0.17300000000000001,0.225,9
720,M,0.56,0.435,0.18,0.889,0.36,0.204,0.25,11
721,F,0.67,0.585,0.16,1.3090000000000002,0.5445,0.2945,0.413,10
722,F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14
723,F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
724,M,0.525,0.405,0.135,0.7575,0.3305,0.21600000000000003,0.195,10
725,M,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,11
726,M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11
727,I,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13
728,F,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,15
729,F,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,9
730,M,0.37,0.28,0.105,0.22399999999999998,0.0815,0.0575,0.075,8
731,I,0.37,0.29,0.1,0.25,0.1025,0.0505,0.085,10
732,F,0.605,0.485,0.165,1.0735,0.43700000000000006,0.205,0.33,14
733,M,0.49,0.38,0.11,0.5539999999999999,0.2935,0.1005,0.15,8
